Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2009-11-12,33400,33650,33900,33400,987136,015760,한국전력공사,-250.0,-0.7429420505200593
2009-11-13,33550,33500,33850,32850,1028597,015760,한국전력공사,150.0,0.4491017964071856
2009-11-16,33500,33550,33600,33300,1335748,015760,한국전력공사,-50.0,-0.14903129657228018
2009-11-17,33450,33550,33600,33300,1050806,015760,한국전력공사,-50.0,-0.1492537313432836
2009-11-18,33500,33450,33850,33200,1554012,015760,한국전력공사,50.0,0.14947683109118087
2009-11-19,33500,33350,33700,33350,1277149,015760,한국전력공사,0.0,0.0
2009-11-20,33100,33050,33500,32800,3308545,015760,한국전력공사,-400.0,-1.1940298507462688
2009-11-23,33100,32800,33200,32750,1615166,015760,한국전력공사,0.0,0.0
2009-11-24,32950,33050,33200,32700,1262038,015760,한국전력공사,-150.0,-0.4531722054380665
2009-11-25,32800,33200,33200,32650,768177,015760,한국전력공사,-150.0,-0.4552352048558422
2009-11-26,32650,32700,32850,32550,710636,015760,한국전력공사,-150.0,-0.45731707317073167
2009-11-27,31550,32400,32500,31300,1319319,015760,한국전력공사,-1100.0,-3.3690658499234303
2009-11-30,31900,32000,32150,31600,1902788,015760,한국전력공사,350.0,1.109350237717908
2009-12-01,32150,31950,32250,31600,1186301,015760,한국전력공사,250.0,0.7836990595611284
2009-12-02,32200,32150,32550,31900,1330019,015760,한국전력공사,50.0,0.15552099533437014
2009-12-03,32500,32250,32750,32250,876266,015760,한국전력공사,300.0,0.9316770186335404
2009-12-04,32400,32250,32600,32200,1551376,015760,한국전력공사,-100.0,-0.3076923076923077
2009-12-07,32450,32550,32700,32350,1404991,015760,한국전력공사,50.0,0.15432098765432098
2009-12-08,32350,32400,32800,32250,833983,015760,한국전력공사,-100.0,-0.30816640986132515
2009-12-09,32500,32250,32500,32100,900604,015760,한국전력공사,150.0,0.46367851622874806
2009-12-10,32750,32600,32750,32200,2663534,015760,한국전력공사,250.0,0.7692307692307693
2009-12-11,32500,32550,32750,32350,1652894,015760,한국전력공사,-250.0,-0.7633587786259541
2009-12-14,32500,32500,32600,32150,1369251,015760,한국전력공사,0.0,0.0
2009-12-15,32600,32500,32800,32300,1004686,015760,한국전력공사,100.0,0.3076923076923077
2009-12-16,32600,32550,32750,32350,833495,015760,한국전력공사,0.0,0.0
2009-12-17,32550,33150,33400,32350,1719258,015760,한국전력공사,-50.0,-0.15337423312883436
2009-12-18,32250,32300,32500,32100,1017085,015760,한국전력공사,-300.0,-0.9216589861751152
2009-12-21,32100,32350,32350,31950,1185740,015760,한국전력공사,-150.0,-0.46511627906976744
2009-12-22,32350,32150,32900,32150,1982580,015760,한국전력공사,250.0,0.778816199376947
2009-12-23,32450,32350,32850,32300,2026760,015760,한국전력공사,100.0,0.3091190108191654
2009-12-24,32750,32600,33000,32600,1841348,015760,한국전력공사,300.0,0.9244992295839755
